skills;talent;trappings;career_entries;career_exits
Charakteryzacja;Błyskotliwość lub Obieżyświat;Ubranie najlepszej jakości;Dowolna;Kanciarz
Czytanie I pisanie;Charyzmatyczny;Sztylet;;Mieszczanin
Dowodzenie lub Przekonywanie;Czarnoksięstwo;Symbol religijny Tzeentcha;;Podżegacz
Język tajemny(demoniczny);Etykieta;Szaty kultysty;;Przemytnik
Nauka(demonologia);Intrygant;;;Rzemieślnik
Nauka(dowolna);Magia prosta(Chaos);;;Skryba
Plotkowanie lub Zastraszanie;Odporność na magię;;;Szlachcic
Rzemiosło(dowolne) lub Znajomość języka(dowolny);Opanowanie;;;Wojownik Chaosu
Splatanie magii;Kontrolowana mutacja;;;Wtajemniczony kultu Tzeentcha
Spostrzegawczość;Poliglota;;;Złowróż
Warzenie trucizn lub Wiedza(dowolna);Przemawianie;;;Żak
Wycena;Uodporniony na Chaos;;;
Wykrywanie magii;Zmysł magii lub Żyłka handlowa;;;
