skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie;Czarnoksięstwo lub Medytacja;3 magiczne przedmioty;Mistrz magii;Mistrz gildii
Język tajemny(demoniczny lub tajemny elfi);Dotyk mocy lub Twardziel;12 ksiąg magii tajemnej;;Odkrywca
Język tajemny(magiczny);Magia powszechna(dowolne 2);;;
Nauka(dowolne 3);Zmysł magii lub Morderczy pocisk;;;
Nauka(magia);;;;
Przekonywanie lub Zastraszanie;;;;
Splatanie magii;;;;
Wiedza(dowolne 3);;;;
Wykrywanie magii;;;;
Znajomość języka(dowolne 4);;;;
