skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie;Broń specjalna(szermiercza);Rapier lub Szpada najlepszej jakości;Dworzanin;Kapitan
Dowodzenie;Krasomówstwo;Strój arystokraty najlepszej jakości;Kapitan;Oficer
Jeździectwo;Przemawianie;Rumak z siodłem I uprzężą;Mistrz zakonny;Rycerz
Nauka(genealogia/heraldyka);;500 zk;Rycerz;Uczony
Nauka(historia lub strategi/taktyka);;biżuteria o wartości 500 zk;Urzędnik;
Plotkowanie;;;;
Przekonywanie;;;;
Spostrzegawczość;;;;
Wiedza(Imperium);;;;
Wycena;;;;
Znajomość języka(klasyczny);;;;
Znajomość języka(staroświatowy);;;;
