skills;talent;trappings;career_entries;career_exits
Opieka nad zwierzętami lub Wiedza(Imperium);Strzał mierzony lub Ogłuszanie;Łuk;Chłop;Demagog
Plotkowanie lub Sekretne znaki(złodziei);Wędrowiec lub Łotrzyk;10 strzał;Czarnoksiężnik;Rozbójnik
Powożenie lub Jeździectwo;;Skórzany kaftan;Czarownik;Weteran
Skradanie się;;Tarcza;Fanatyk;Włóczykij
Spostrzegawczość;;;Giermek;Złodziej
Ukrywanie się;;;Guślarz;
Unik;;;Kanciarz;
Wspinaczka;;;Karczmarz;
Zastawianie pułapek lub Pływanie;;;Leśnik;
;;;Mytnik;
;;;Najemnik;
;;;Ochotnik;
;;;Podżegacz;
;;;Strażnik dróg;
;;;Szarlatan;
;;;Woźnica;
;;;Żołnierz okrętowy;
