skills;talent;trappings;career_entries;career_exits
Charakteryzacja;Czarnoksięstwo;Talizman szczęścia;Czarownik;Banita
Hipnoza lub Czytanie I pisanie;Magia czarnoksięska(dowolna);;;Skryba
Jeździectwo lub Pływanie;Niezwykle odporny lub Twardziel;;;Szarlatan
Leczenie;;;;Uczeń czarodzieja
Nauka(demonologia lub nekromancja);;;;Włóczykij
Plotkowanie;;;;
Przekonywanie;;;;
Przeszukiwanie;;;;
Rzemiosło(aptekarstwo lub zielarstwo);;;;
Splatanie magii;;;;
Spostrzegawczość;;;;
Targowanie;;;;
Ukrywanie się;;;;
Wiedza(dowolne 3);;;;
Wykrywanie magii;;;;
