skills;talent;trappings;career_entries;career_exits
Jeździectwo lub Pływanie;Czarnoksięstwo lub Morderczy atak;Mikstura lecznicza;Guślarz;Banita
Leczenie;Czarostwo;Maść lecznicza;;Czarnoksiężnik
Opieka nad zwierzętami lub Zastraszanie;;Narzędzia(aptekarskie lub zielarskie);;Szarlatan
Plotkowanie;;;;Uczeń czarodzieja
Przekonywanie;;;;Włóczykij
Przeszukiwanie;;;;
Rzemiosło(aptekarstwo lub zielarstwo);;;;
Splatanie magii;;;;
Spostrzegawczość;;;;
Targowanie;;;;
Wiedza(dowolne 2);;;;
Wykrywanie magii;;;;
