skills;talent;trappings;career_entries;career_exits
Charakteryzacja;Bijatyka;Skórzana kurta;Akolita;Herszt banitów
Dowodzenie;Etykieta lub Łotrzyk;Skórzany hełm;Banita;Książe złodziei
Gadanina;Krasomówstwo;;Bard;Najemnik
Nauka(historia);Przemawianie;;Biczownik;Urzędnik
Nauka(prawo);;;Herszt banitów;Zakonnik
Plotkowanie;;;Kanciarz;
Przekonywanie;;;Książe złodziei;
Spostrzegawczość;;;Łowca czarownic;
Ukrywanie się;;;Łowca wampirów;
Unik;;;Mistrz rzemiosła;
Wiedza(Imperium);;;Podżegacz;
Zastraszanie;;;Szarlatan;
Znajomość języka(staroświatowy);;;Urzędnik;
;;;Wybraniec boży;
;;;Zakonnik;
