skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie;Błyskotliwość lub Charyzmatyczny;4 stroje szlacheckie;Herold;Arystokrata
Dowodzenie lub Kuglarstwo(dowolne);Intrygant lub Broń specjalna(szermiercza);100 zk;Rajtar;Majordomus
Gadanina;Przemawianie;paź;Szlachcic;Szarlatan
Jeździectwo;Żyłka handlowa lub Etykieta;;Urzędnik;Szpieg
Nauka(sztuka lub historia) lub Hazard;;;;Urzędnik
Plotkowanie;;;;Zwadźca
Przekonywanie;;;;
Spostrzegawczość;;;;
Wiedza(Bretonia lub Tilea);;;;
Wycena;;;;
Znajomość języka(bretoński lub tileański);;;;
Znajomość języka(staroświatowy);;;;
