skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie;Etykieta;Perfumy;Paź;Cyrkowiec
Gadanina;Krasomówstwo;Mieszek;Posłaniec;Dworzanin
Jeździectwo;Przemawianie;2 komplety ubrań najlepszej jakości;;Giermek
Nauka(genealogia/heraldyka);;Liberia;;Odkrywca
Nauka(historia);;;;Podżegacz
Plotkowanie;;;;Urzędnik
Przekonywanie;;;;
Spostrzegawczość;;;;
Targowanie;;;;
Wiedza(Bretonia, Kislev lub Tilea);;;;
Wiedza(Imperium);;;;
Wycena;;;;
Znajomość języka(bretoński, kislevski lub Tileański);;;;
Znajomość języka(staroświatowy);;;;
