skills;talent;trappings;career_entries;career_exits
Dowodzenie;Błyskawiczne przeładowanie;Łuk lub Kusza;Demagog;Demagog
Jeździectwo;Błyskawiczny blok;10 strzał lub bełtów;Książe złodziei;Książe złodziei
Nauka(strategia/taktyka);Strzał precyzyjny;Koszula kolcza;Leśny duch;Oficer
Sekretne znaki(zwiadowców lub złodziei);Szybkie wyciągnięcie;Skórzana kurta;Mistrz cieni;Skrytobójca
Sekretny język(bitewny);;Koń z siodłem I uprzężą;Oficer;
Sekretny język(złodziejski);;Grupa banitów;Reketer;
Skradanie się;;;Rozbójnik;
Spostrzegawczość;;;Skrytobójca;
Tropienie;;;Weteran;
Ukrywanie się;;;Zwiadowca;
Wiedza(Imperium);;;;
Wspinaczka;;;;
