skills;talent;trappings;career_entries;career_exits
Gadanina;Chodu! Lub Łotrzyk;Ubranie najlepszej jakości lub Zestaw kości do gry lub Talia kart;Cyrkowiec;Banita
Hazard lub Sekretne znaki(złodziei);Przemawianie;k10 zk;Paź;Cyrkowiec
Kuglarstwo(Aktorstwo lub Gawędziarstwo);Szczęście lub Szósty zmysł;;Podżegacz;Demagog
Plotkowanie lub Targowanie;;;Rzecznik rodu;Sługa
Przekonywanie;;;Skrytobójca;Szarlatan
Przeszukiwanie lub Sekretny język(złodziejski);;;Szermierz estalijski;Złodziej
Spostrzegawczość;;;Szlachcic;
Wycena;;;Złodziej;
Znajomość języka(staroświatowy);;;Zwadźca;
;;;Żeglarz;
