skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie;Magia prosta(kapłańska);Modlitwenik;Akolita;Biczownik
Jeździectwo lub Pływanie;Morderczy atak lub Ogłuszanie;Przybory do pisania;Biczownik;Majordomus
Język tajemny(magiczny);Pancerz wiary lub Krasomówstwo;;Zakonnik;Uczony
Leczenie;;;;Wybraniec boży
Nauka(dowolna);;;;
Nauka(teologia);;;;
Plotkowanie;;;;
Przekonywanie;;;;
Splatanie magii;;;;
Spostrzegawczość;;;;
Wiedza(dowolne 2);;;;
Wykrywanie magii;;;;
Znajomość języka(dowolne 2);;;;
