skills;talent;trappings;career_entries;career_exits
Dowodzenie;Broń specjalna(kusze lub parująca);Kusza pistoletowa I 10 bełtów lub Łamacz mieczy;Demagog;Demagog
Plotkowanie;Groźny;Ubranie najlepszej jakości;Herszt banitów;Herszt banitów
Przekonywanie;Łotrzyk;Odtrutki;Majordomus;Mistrz cieni
Sekretne znaki(złodziei);Odporność na trucizny;100 zk;Mistrz cieni;Urzędnik
Sekretny język(złodziei);Przemawianie;Organizacja przestępcza;Mistrz gildii;
Spostrzegawczość;Szósty zmysł;;Paser;
Targowanie;Żyłka handlowa lub Intrygant;;Urzędnik;
Torturowanie;;;Włamywacz;
Unik;;;;
Wiedza(Imperium);;;;
Wycena;;;;
Zastraszanie;;;;
