skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie;Geniusz arytmetyczny;Dom w mieście;Bosman;Mistrz gildii
Jeździectwo;Żyłka handlowa lub Łotrzyk;Magazyn;Karczmarz;Ochotnik
Plotkowanie;;1000 zk w monecie lub towarach;Majordomus;Reketer
Powożenie;;;Mieszczanin;Szpieg
Przekonywanie;;;Mistrz rzemiosła;Urzędnik
Rzemiosło(handel);;;Odkrywca;
Sekretny język(gildii);;;Oficer;
Targowanie;;;Rybak;
Wiedza(dowolne 2);;;Rzecznik rodu;
Wycena;;;Rzemieślnik;
Znajomość języka(bretoński, estalijski, kislevski lub norski);;;Uczony;
Znajomość języka(staroświatowy);;;;
