skills;talent;trappings;career_entries;career_exits
Czytanie z warg;Błyskawiczne przeładowanie;Elfi łuk;Zwiadowca;Herszt banitów
Nawigacja;Błyskawiczny blok;10 strzał;;Łowca wampirów
Sekretne znaki(łowców);Strzał precyzyjny;Skórznia najlepszej jakości;;Oficer
Sekretny język(łowców);Strzał przebijający;;;Strzelec
Skradanie się;Szybkie wyciągnięcie;;;
Spostrzegawczość;Twardziel lub Bardzo szybki;;;
Sztuka przetrwania;;;;
Śledzenie;;;;
Tropienie;;;;
Ukrywanie się;;;;
Unik;;;;
Zastawianie pułapek;;;;
Zastraszanie;;;;
