skills;talent;trappings;career_entries;career_exits
Charakteryzacja;Bijatyka lub Brawura;Kusza pistoletowa;Książe złodziei;Herszt banitów
Czytanie I pisanie;Broń specjalna(kusze);10 bełtów;Paser;Książe złodziei
Hazard lub Czytanie z warg;Broń specjalna(rzucana);2 topory/młoty do rzucania lub 3 noże/gwiazdki do rzucania;Reketer;Odkrywca
Otwieranie zamków;Łotrzyk;Wytrychy najlepszej jakości;Rozbójnik;Strzelec
Plotkowanie;Wykrywanie pułapek;Płaszcz z kapturem;Szpieg;
Pływanie;;Worek;Włamywacz;
Przekonywanie;;10 m liny najlepszej jakości;;
Przekonywanie;;;;
Sekretne znaki(złodziei);;;;
Sekretny język(złodziejski);;;;
Skradanie się;;;;
Spostrzegawczość;;;;
Ukrywanie się;;;;
Unik;;;;
Wspinaczka;;;;
Wycena;;;;
Zwinne palce;;;;
