skills;talent;trappings;career_entries;career_exits
Dowodzenie;Etykieta;Przybory do pisania;Arcykapłan;Książe złodziei
Nauka(historia);Poliglota;100 zk;Inżynier;Reketer
Plotkowanie;Żyłka handlowa;gildia kupiecka lub złodziei;Kupiec;Urzędnik
Przekonywanie;;;Medyk;
Rzemiosło(dowolne 2);;;Mistrz rzemiosła;
Sekretny język(gildii);;;;
Spostrzegawczość;;;;
Targowanie;;;;
Wiedza(Imperium);;;;
Wycena;;;;
Znajomość języka(bretoński, estalijski, kislevski lub norski);;;;
Znajomość języka(staroświatowy);;;;
