skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie;Czarnoksięstwo lub Odporność psychiczna;Narzędzia(alchemiczne);Wędrowny czarodziej;Arcymag
Język tajemny(demoniczny lub tajemny elfi);Dotyk mocy lub Morderczy pocisk;2 przedmioty magiczne;;Odkrywca
Język tajemny(magiczny);Magia powszechna(dowolne 2);;;Uczony
Nauka(dowolne 2);Zmysł magii lub Medytacja;;;
Nauka(magia);;;;
Plotkowanie lub Jeździectwo;;;;
Przekonywanie lub Zastraszanie;;;;
Splatanie magii;;;;
Wiedza(dowolne 2);;;;
Wykrywanie magii;;;;
Znajomość języka(dowolne 3);;;;
