skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie;Błyskawiczny blok;Rapier lub Szpada;Łowca czarownic;Arystokrata
Dowodzenie;Broń specjalna(parująca);Puklerz lub Lewak;Rycerz;Fechtmistrz
Jeździectwo;Broń specjalna(szermiercza);Zbroja płytowa najlepszej jakości;;Łowca czarownic
Nauka(genealogia/heraldyka lub teologia);Etykieta;Symbol religijny;;Oficer
Nauka(strategia/taktyka);Morderczy atak;50 zk;;
Przekonywanie;Obieżyświat;;;
Sekretne znaki(zwiadowców lub rycerzy zakonnych);Odwaga;;;
Sekretny język(bitewny);Ogłuszanie;;;
Spostrzegawczość;;;;
Tresura;;;;
Unik;;;;
Wiedza(dowolne 3);;;;
Znajomość języka(bretoński, estalijski, kislevski lub tileański);;;;
