skills;talent;trappings;career_entries;career_exits
Opieka nad zwierzętami lub Hazard;Błyskawiczne przeładowanie lub Silny cios;Kusza;Berserker z Norski;Banita
Plotkowanie lub Targowanie;Rozbrajanie lub Szybkie wyciągnięcie;10 bełtów;Demagog;Łowca nagród
Powożenie lub Jeździectwo;Strzał mierzony lub Ogłuszanie;Kaftan kolczy;Gladiator;Ochroniarz
Sekretny język(bitewny);;Skórzana kurta;Górnik;Sierżant
Spostrzegawczość lub Przeszukiwanie;;Tarcza;Kozak kislevski;Tarczownik
Unik;;Mikstura lecznicza;Łowca nagród;Weteran
Wiedza(Bretonia, Kislev lub Tilea);;;Ochotnik;
Znajomość języka(tileański) lub Pływanie;;;Ochroniarz;
;;;Oprych;
;;;Przepatrywacz;
;;;Strażnik;
;;;Strażnik pól;
;;;Żołnierz;
