skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie;Obieżyświat;Łuk lub Kusza;Arcymag;Kapitan
Dowodzenie;Wyczucie kierunku lub Poliglota;10 strzał lub bełtów;Bosman;Kupiec
Jeździectwo;;Broń jednoręczna;Herold;Oficer
Nauka(historia lub prawo);;Kaftan kolczy;Inżynier;Szpieg
Nawigacja;;Skórzana kurta;Kapitan;
Pływanie;;Tarcza;Mistrz cieni;
Powożenie;;Koń z siodłem I uprzężą;Mistrz magii;
Rzemiosło(kartografia);;6 map;Nawigator;
Sekretne znaki(zwiadowców);;1000 zk w monecie lub towarach na wymianę;Oficer;
Sekretny język(łowców);;;Szpieg;
Spostrzegawczość;;;Uczony;
Sztuka przetrwania;;;Zwiadowca;
Tropienie;;;;
Wiedza(dowolne 3);;;;
Wspinaczka;;;;
Wycena;;;;
Znajomość języka(dowolne 3);;;;
