skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie;Błyskawiczny blok;Korbacz lub Łamacz mieczy;Arystokrata;Herszt banitów
Dowodzenie;Broń specjalna(kawaleryjska lub dwuręczna);Kopia lub Broń dwuręczna;Herszt banitów;Kupiec
Jeździectwo;Broń specjalna(korbacze lub parująca);Zbroja kolcza;Leśny duch;Odkrywca
Nauka(strategia/taktyka);Rozbrajanie lub Szybkie wyciągnięcie;Tarcza;Łowca czarownic;Podżegacz
Opieka nad zwierzętami;;Rumak z siodłem I uprzężą;Mistrz zakonny;Urzędnik
Plotkowanie;;Oddział żołnierzy;Odkrywca;
Sekretny język(bitewny);;;Rycerz;
Unik;;;Sierżant;
Wiedza(dowolne 3);;;;
Znajomość języka(kislevski lub tileański);;;;
