skills;talent;trappings;career_entries;career_exits
Plotkowanie lub Sekretny język(złodziejski);Żyłka handlowa lub Łotrzyk;Skórzana kurta;Ciura obozowa;Flisak
Pływanie;;Koń pociągowy I wóz lub łódż wiosłowa;Flisak;Paser
Powożenie;;2 pochodnie;Górnik;Przewoźnik
Przeszukiwanie;;;Inżynier;Szarlatan
Skradanie się;;;Karczmarz;Tarczownik
Spostrzegawczość;;;Przewoźnik;Złodziej
Targowanie;;;Śmieciarz;Żeglarz
Wioślarstwo;;;Tarczownik;
Wycena;;;Woźnica;
Znajomość języka(bretoński lub kislevski) lub Sekretne znaki(złodziei);;;Zarządca;
;;;Żeglarz;
;;;Żołnierz okrętowy;
