skills;talent;trappings;career_entries;career_exits
Jeździectwo;Dotyk mocy;Lusterko;Uczeń szamana;Knuj
Język tajemny(demoniczny lub magiczny);Krasomówstwo;;;Siłacz
Kuglarstwo(gawędziarstwo);Magia kapłańska(duchów);;;Wielki szaman
Kuglarstwo(śpiew);Zmysł magii lub Medytacja;;;
Kuglarstwo(taniec);;;;
Leczenie;;;;
Nauka(dowolna);;;;
Nauka(teologia);;;;
Plotkowanie;;;;
Przekonywanie;;;;
Splatanie magii;;;;
Spostrzegawczość;;;;
Wiedza(dowolne 2);;;;
Wykrywanie magii;;;;
Zastraszanie;;;;
Znajomość języka(dowolny);;;;
