skills;talent;trappings;career_entries;career_exits
Charakteryzacja;Chodu!;6 ubrań dobrej jakości;Bard;Banita
Gadanina;Intrygant lub Łotrzyk;4 komplety ubrań najlepszej jakości;Ciura obozowa;Demagog
Hazard;Naśladowca;Podrobione dokumenty;Cyrkowiec;Szpieg
Plotkowanie;Obieżyświat;4 butelki różnokolorowej wody;Czarnoksiężnik;Urzędnik
Przekonywanie;Przemawianie;4 buteli różnokolorowego proszku;Czarownik;Włamywacz
Sekretny język(złodziei);;;Dworzanin;
Spostrzegawczość;;;Guślarz;
Targowanie;;;Kanciarz;
Wiedza(Bretonia lub Tilea);;;Paser;
Wycena;;;Podżegacz;
Znajomość języka(bretoński lub tileański);;;Przemytnik;
Znajomość języka(staroświatowy);;;Rzecznik rodu;
Zwinne palce;;;Wędrowny czarodziej;
;;;Złodziej;
