skills;talent;trappings;career_entries;career_exits
Charakteryzacja;Charyzmatyczny lub Szósty zmysł;Zestaw do charakteryzacji;Bard;Mistrz cieni
Czytanie z warg;Chodu!;4 gołębie pocztowe;Ciura obozowa;Odkrywca
Kuglarstwo(aktorstwo);Intrygant;;Dworzanin;Reketer
Otwieranie zamków;Poliglota;;Kapitan;Skrytobójca
Plotkowanie;;;Kupiec;
Przekonywanie;;;Medyk;
sekretny język(dowolny);;;Odkrywca;
Skradanie się;;;Sługa;
Śledzenie;;;Szarlatan;
Ukrywanie się;;;;
Wiedza(dowolne 2);;;;
Znajomość języka(dowolne 3);;;;
Zwinne palce;;;;
