skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie;Etykieta lub Łotrzyk;Broń jednoręczna najlepszej jakości;Arcykapłan;Arystokrata
Dowodzenie;Krasomówstwo;Skórzana kurta najlepszej jakości;Chłop;Demagog
Gadanina;Przemawianie;Ulotki I odezwy polityczne;Demagog;Dworzanin
Kuglarstwo(aktorstwo);Żyłka handlowa lub Intrygant;;Dworzanin;Książe złodziei
Nauka(historia lub genealogia/heraldyka);;;Herold;Majordomus
Nauka(prawo);;;Książe złodziei;Reketer
Plotkowanie;;;Kupiec;
Przekonywanie;;;Mistrz gildii;
Spostrzegawczość;;;Mytnik;
Targowanie;;;Oficer;
Wiedza(Imperium);;;Podżegacz;
Wycena;;;Reketer;
Znajomość języka(staroświatowy);;;Szarlatan;
;;;Szlachcic;
;;;Zarządca;
