skills;talent;trappings;career_entries;career_exits
Hazard;Błyskawiczne przeładowanie lub Morderczy atak;2 sztuki broni;Banita;Fechtmistrz
Mocna głowa;Broń specjalna(dowolne 2);Zbroja kolcza;Berserker z Norski;Herszt banitów
Plotkowanie;Niezwykle odporny lub Bardzo silny;Butelka spirytusu lub gorzałki najlepszej jakości;Biczownik;Sierżant
Sekretny język(bitewny);Strzał precyzyjny lub Silny cios;;Giermek;Strzelec
Spostrzegawczość;;;Gladiator;Szampierz
Unik;;;Goniec;
Wiedza(Imperium);;;Kozak kislevski;
Zastraszanie;;;Najemnik;
;;;Rajtar;
;;;Tarczownik;
;;;Wojownik klanowy;
;;;Żołnierz;
