skills;talent;trappings;career_entries;career_exits
Jeździectwo;Magia powszechna(dowolne 2);Przedmiot magiczny;Szaman;Wódz
Język tajemny(demoniczny lub magiczny);Morderczy atak;;;
Kuglarstwo(gawędziarstwo);Nieustraszony;;;
Kuglarstwo(śpiew);Odporność psychiczna;;;
Kuglarstwo(taniec);Zmysł magii lub Medytacja;;;
Leczenie;;;;
Nauka(dowolna);;;;
Nauka(teologia);;;;
Plotkowanie;;;;
Przekonywanie;;;;
Splatanie magii;;;;
Spostrzegawczość;;;;
Wiedza(dowolne 2);;;;
Wykrywanie magii;;;;
Zastraszanie;;;;
Znajomość języka(dowolne 2);;;;
