skills;talent;trappings;career_entries;career_exits
Charakteryzacja;Błyskotliwość;Sztylet najlepszej jakości;Akolita kultu Slaanesha;Wojownik Chaosu
Czytanie I pisanie;Groźny;Kult Slaanesha;;Złowróż
Język tajemny(dowolne 2);Intrygant lub Ogłuszanie;Symbol religijny Slaanesha;;
Kuglarstwo(dowolne 2);Magia czarnoksięska(Slaanesh);Szaty kultysty;;
Mocna głowa;Magia powszechna(dowolne 2);30 zk;;
Nauka(demonologia);Magia prosta(Chaos);;;
Nauka(dowolne 2);Nieustraszony;;;
Plotkowanie;Odporność na trucizny;;;
Przekonywanie;Szybki refleks;;;
Splatanie magii;Zmysł magii lub Żyłka handlowa;;;
Wycena;;;;
Wykrywanie magii;;;;
Zastraszanie;;;;
Znajomość języka(dowolne 3);;;;
