skills;talent;trappings;career_entries;career_exits
Charakteryzacja;Groźny;Ubranie najlepszej jakości;Akolita kultu Tzeentcha;Wojownik Chaosu
Czytanie I pisanie;Krasomówstwo;Kult(dowolny);;Złowróż
Dowodzenie;Magia czarnoksięska(Tzeentcha);Sztylet;;
Gadanina;Magia powszechna(dowolne 2);Symbol religijny Tzeentcha;;
Język tajemny(dowolne 2);Medytacja;Szaty kultysty;;
Nauka(dowolne 3);Morderczy pocisk;30 zk;;
Plotkowanie;Odwaga;;;
Przekonywanie;Zmysł magii lub Żyłka handlowa;;;
Splatanie magii;;;;
Spostrzegawczość;;;;
Wiedza(dowolne 4);;;;
Wycena;;;;
Wykrywanie magii;;;;
Zastraszanie;;;;
Znajomość języka(dowolne 3);;;;
