skills;talent;trappings;career_entries;career_exits
Jeździectwo lub Pływanie;Magia kapłańska(dowolna);Szaty kapłańskie najlepszej jakości lub Strój szlachecki;Kapłan;Arcykapłan
Język tajemny(magiczny);Magia powszechna(dowolne );;;Biczownik
Leczenie;Obieżyświat lub Silny cios;;;Demagog
Nauka(dowolne 2);Pancerz wiary lub Dotyk mocy;;;Łowca czarownic
Nauka(teologia);Zmysł magii lub Medytacja;;;Uczony
Plotkowanie;;;;
Przekonywanie;;;;
Splatanie magii;;;;
Wiedza(dowolne 2);;;;
Wykrywanie magii;;;;
Znajomość języka(dowolne 2);;;;
