skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie;Dotyk mocy lub Niezwykle odporny;Księga wiedzy tajemnej;Uczeń czarodzieja;Mistrz magii
jeździectwo lub Pływanie;Magia tajemna(dowolna) lub Magia czarnoksięska(dowolna);Przybory do pisania;;Szarlatan
Język tajemny(magiczny);Medytacja lub Morderczy pocisk;;;Uczony
Nauka(dowolna);Zmysł magii lub Czarnoksięstwo;;;
Nauka(magia);;;;
Plotkowanie;;;;
Przekonywanie lub Zastraszanie;;;;
Splatanie magii;;;;
Wiedza(dowolne 2);;;;
Wykrywanie magii;;;;
Znajomość języka(dowolne 2);;;;
