skills;talent;trappings;career_entries;career_exits
Kuglarstwo(gawędziarstwo, śpiew lub taniec) lub Sekretne znaki(łowców lub złodzei);Bardzo szybki lub Wędrowiec;Plecak;Banita;Cyrkowiec
Leczenie lub Spostrzegawczość;Obieżyświat;Prowiant na 1 tydzień;Ciura obozowa;Leśnik
Nawigacja;Strzelec wyborowy lub Wyczucie kierunku;Namiot;Cyrkowiec;Śmieciarz
Plotkowanie lub Sekretny język(łowców lub złodziei);;Bukłak z wodą;Cyrulik;Zakonnik
Skradanie się;;;Czarnoksiężnik;Złodziej
Sztuka przetrwania;;;Czarownik;Zwiadowca
Targowanie lub Pływanie;;;Guślarz;
Wiedza(Bretonia, Estalia, Kislev lub Tilea);;;Leśnik;
;;;Rzecznik rodu;
;;;Strażnik pól;
;;;Węglarz;
;;;Włamywacz;
;;;Wojownik klanowy;
;;;Żołnierz;
