skills;talent;trappings;career_entries;career_exits
Charakteryzacja;Błyskotliwość lub Charyzmatyczny;Skórzana kurta;Demagog;Demagog
Czytanie I pisanie;Czuły słuch;Broń jednoręczna;Dworzanin;Książe złodziei
Plotkowanie;Intrygant;Garota;Książe złodziei;Łowca czarownic
Przekonywanie;Łotrzyk;Płaszcz;Łowca czarownic;Mieszczanin
Przeszukiwanie;Naśladowca lub Poliglota;Zestaw do charakteryzacji dobrej jakości;Mistrz cieni;Mistrz cieni
Rzemiosło(dowolne);Opanowanie;3 komplety ubrań dobrej jakości;Skrytobójca;Skrytobójca
Sekretne znaki(dowolne 2);Ulicznik;Porcja trucizny;Szpieg;Szarlatan
Sekretny język(dowolne 2);;;Urzędnik;Szpieg
Skradanie się;;;Weteran;Urzędnik
Spostrzegawczość;;;Zakonnik;Weteran
Ukrywanie się;;;Zwiadowca;Zwiadowca
Wiedza(dowolne 3);;;;
Znajomość języka(dowolne 4);;;;
