skills;talent;trappings;career_entries;career_exits
Hazard;Artylerzysta;Lewak;Dworzanin;Fechtmistrz
Plotkowanie;Brawura;Pistolet z amunicją I zapasem prochu na 10 strzałów;Rajtar;Kanciarz
Przekonywanie;Broń specjalna(palna);Rapier;Rozbójnik;Rozbójnik
Spostrzegawczość;Broń specjalna(parująca);;Rzezimieszek;Sierżant
Unik;Broń specjalna(szermiercza);;Sierżant;Skrytobójca
Zastraszanie;Etykieta;;Strzelec;
Zwinne palce;Morderczy atak;;Szermierz estalijski;
;Oburęczność lub Rozbrajanie;;;
;Silny cios;;;
;Strzał mierzony;;;
;Strzał precyzyjny;;;
;Szybkie wyciągnięcie;;;
