skills;talent;trappings;career_entries;career_exits
Jeździectwo;Błyskawiczne przeładowanie;Kaftan kolczy;Fechtmistrz;Herszt banitów
Nawigacja;Broń specjalna(długi łuk lub kusze);Skórzana kurta;Goniec;Leśny duch
Opieka nad zwierzętami;Strzał precyzyjny lub Strzał przebijający;Tarcza;Górnik;Łowca wampirów
Oswajanie;Wyczucie kierunku;Koń z siodłem I uprzężą;Leśnik;Odkrywca
Sekretne znaki(zwiadowców);;10 m liny;Łowca;Sierżant
Sekretny język(łowców);;;Łowca nagród;
Skradanie się;;;Posłaniec;
Spostrzegawczość;;;Przepatrywacz;
Tropienie;;;Strażnik dróg;
Ukrywanie się;;;Strażnik pól;
Unik;;;Węglarz;
Wiedza(dowolne 2);;;Włóczykij;
Znajomość języka(dowolne 2);;;Wojownik klanowy;
;;;Woźnica;
