skills;talent;trappings;career_entries;career_exits
Czytanie I pisanie lub Zwinne palce;Geniusz arytmetyczny lub Wykrywanie pułapek;Skórzany kaftan;Banita;Cyrkowiec
Hazard lub Otwieranie zamków;Ulicznik lub Łotrzyk;Worek;Cyrkowiec;Hiena cmentarna
Przekonywanie lub Wspinaczka;;Wytrychy;Hiena cmentarna;Kanciarz
Przeszukiwanie;;10 m liny;Kanciarz;Paser
Sekretny język(złodziejski) lub Sekretne znaki(złodziei);;;Mytnik;Szarlatan
Skradanie się;;;Ochotnik;Włamywacz
Spostrzegawczość;;;Oprawca;
Ukrywanie się;;;Porywacz zwłok;
Wycena lub Charakteryzacja;;;Przemytnik;
;;;Rzezimieszek;
;;;Sługa;
;;;Szczurołap;
;;;Włóczykij;
