skills;talent;trappings;career_entries;career_exits
Dowodzenie;Błyskawiczny blok;Kusza pistoletowa;Arcykapłan;Akolita
Jeździectwo;Broń specjalna(kusze);10 bełtów;Fechtmistrz;Demagog
Nauka(magia);Broń specjalna(rzucana);Broń jednoręczna najlepszej jakości;Łowca wampirów;Fechtmistrz
Nauka(nekromancja);Broń specjalna(unieruchamiająca);4 noże lub Gwiazdki do rzucania;Mistrz zakonny;Mistrz zakonny
Nauka(teologia);Groźny;Zbroja płytowa;Skrytobójca;Oficer
Plotkowanie;Odwaga;10 m liny;Szampierz;
Przekonywanie;Przemawianie;;Wybraniec boży;
Przeszukiwanie;Silny cios;;;
Skradanie się;Szósty zmysł;;;
Spostrzegawczość;Szybki refleks lub Strzelec wyborowy;;;
Wiedza(Imperium);;;;
Zastraszanie;;;;
Znajomość języka(dowolny);;;;
