skills;talent;trappings;career_entries;career_exits
Nauka(historia lub nekromancja);Broń specjalna(kusze);Kusza samopowtarzalna;Hiena cmentarna;Akolita
Przeszukiwanie;Grotołaz;10 bełtów;Leśny duch;Demagog
Skradanie się;Morderczy atak;Kolcza zbroja;Łowca nagród;Łowca czarownic
Spostrzegawczość;Odwaga;Woda święcona;Rycerz;Rycerz
Śledzenie;Silny cios;4 kołki;Strażnik pól;Strzelec
Tropienie;Strzał precyzyjny lub Błyskawiczne przeładowanie;;Zwiadowca;
Ukrywanie się;;;;
Unik;;;;
Wiedza(Imperium);;;;
Wspinaczka;;;;
Znajomość języka(klasyczny);;;;
